"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\views\pages\employee\editDailyReservation.php", "PHP", 0, -416, 0, 0, 0, -20, -60, -496
"c:\xampp\htdocs\routeready\app\views\pages\employee\editMonthlyReservation.php", "PHP", 0, -372, 0, 0, 0, -16, -45, -433
"c:\xampp\htdocs\routeready\app\views\pages\employee\editWorkTrips.php", "PHP", 0, -379, 0, 0, 0, -20, -62, -461
"c:\xampp\htdocs\routeready\app\views\pages\employee\employeeHome.php", "PHP", 0, -239, 0, 0, 0, -2, -25, -266
"c:\xampp\htdocs\routeready\app\views\pages\employee\makeReservation.php", "PHP", 0, -515, 0, 0, 0, -17, -81, -613
"c:\xampp\htdocs\routeready\app\views\pages\employee\makeWorkTrip.php", "PHP", 0, -303, 0, 0, 0, -11, -44, -358
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewMonthlyPayments.php", "PHP", 0, -271, 0, 0, 0, -15, -35, -321
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewMonthlyReservations.php", "PHP", 0, -214, 0, 0, 0, -3, -33, -250
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewReservations.php", "PHP", 0, -392, 0, 0, 0, -19, -43, -454
"c:\xampp\htdocs\routeready\app\views\pages\employee\viewWorkTrips.php", "PHP", 0, -268, 0, 0, 0, -9, -33, -310
"c:\xampp\htdocs\routeready\app\views\pages\home.php", "PHP", 0, -134, 0, 0, 0, 0, -9, -143
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\about.php", "PHP", 0, -3, 0, 0, 0, 0, -2, -5
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\as_employee.php", "PHP", 0, -54, 0, 0, 0, 0, -6, -60
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\dashboard_hr.php", "PHP", 0, -111, 0, 0, 0, 0, -12, -123
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\home_hr.php", "PHP", 0, -153, 0, 0, 0, 0, -11, -164
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\payments.php", "PHP", 0, -275, 0, 0, 0, -3, -42, -320
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\add_t&c.php", "PHP", 0, -208, 0, 0, 0, -3, -39, -250
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\edit_t&c.php", "PHP", 0, -204, 0, 0, 0, -4, -33, -241
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\show_t&c.php", "PHP", 0, -159, 0, 0, 0, -1, -32, -192
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\t&c\t&c.php", "PHP", 0, -183, 0, 0, 0, -1, -30, -214
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_drivers.php", "PHP", 0, -56, 0, 0, 0, 0, -5, -61
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_drivers_more.php", "PHP", 0, -94, 0, 0, 0, 0, -11, -105
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_employees.php", "PHP", 0, -90, 0, 0, 0, 0, -6, -96
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_osdrivers.php", "PHP", 0, -58, 0, 0, 0, 0, -6, -64
"c:\xampp\htdocs\routeready\app\views\pages\hrmanager\view_osdrivers_more.php", "PHP", 0, -256, 0, 0, 0, -5, -44, -305
"c:\xampp\htdocs\routeready\app\views\pages\index.php", "PHP", 0, -140, 0, 0, 0, 0, -8, -148
"c:\xampp\htdocs\routeready\app\views\pages\profile.php", "PHP", 0, -44, 0, 0, 0, 0, -5, -49
"c:\xampp\htdocs\routeready\app\views\pages\terms_conditions.php", "PHP", 0, -72, 0, 0, 0, -2, -10, -84
"c:\xampp\htdocs\routeready\app\views\users\login.php", "PHP", 0, -58, 0, 0, 0, 0, -6, -64
"c:\xampp\htdocs\routeready\app\views\users\register.php", "PHP", 0, -314, 0, 0, 0, -6, -32, -352
"c:\xampp\htdocs\routeready\public\css\content.css", "CSS", 114, 0, 0, 0, 0, 4, 21, 139
"c:\xampp\htdocs\routeready\public\css\dashboard.css", "CSS", 159, 0, 0, 0, 0, 11, 27, 197
"c:\xampp\htdocs\routeready\public\css\driver\driver.css", "CSS", 129, 0, 0, 0, 0, 2, 32, 163
"c:\xampp\htdocs\routeready\public\css\edit_profile.css", "CSS", 215, 0, 0, 0, 0, 16, 52, 283
"c:\xampp\htdocs\routeready\public\css\employee\employee.css", "CSS", 130, 0, 0, 0, 0, 2, 31, 163
"c:\xampp\htdocs\routeready\public\css\index\index.css", "CSS", 554, 0, 0, 0, 0, 1, 116, 671
"c:\xampp\htdocs\routeready\public\css\logreg\logreg.css", "CSS", 262, 0, 0, 0, 0, 18, 46, 326
"c:\xampp\htdocs\routeready\public\css\navbar.css", "CSS", 157, 0, 0, 0, 0, 1, 25, 183
"c:\xampp\htdocs\routeready\public\css\navbar2.css", "CSS", 157, 0, 0, 0, 0, 2, 28, 187
"c:\xampp\htdocs\routeready\public\css\profile.css", "CSS", 187, 0, 0, 0, 0, 7, 50, 244
"c:\xampp\htdocs\routeready\public\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\routeready\public\index.php", "PHP", 0, 3, 0, 0, 0, 1, 1, 5
"c:\xampp\htdocs\routeready\public\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 2064, -20735, 0, -79, -187, -4209, -2045, -25191
