"filename", "language", "PHP", "JSON", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ka.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ko.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-lt.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-lv.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-mg.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-mn.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ms.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-nb.php", "PHP", 27, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-nl.php", "PHP", 27, 0, 0, 0, 0, 5, 1, 33
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pl.php", "PHP", 27, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pt.php", "PHP", 20, 0, 0, 0, 0, 5, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pt_br.php", "PHP", 27, 0, 0, 0, 0, 9, 1, 37
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ro.php", "PHP", 27, 0, 0, 0, 0, 4, 1, 32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ru.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-si.php", "PHP", 27, 0, 0, 0, 0, 5, 1, 33
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sk.php", "PHP", 22, 0, 0, 0, 0, 6, 1, 29
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sl.php", "PHP", 27, 0, 0, 0, 0, 7, 1, 35
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sr.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sr_latn.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sv.php", "PHP", 19, 0, 0, 0, 0, 6, 1, 26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-tl.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-tr.php", "PHP", 20, 0, 0, 0, 0, 9, 1, 30
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-uk.php", "PHP", 20, 0, 0, 0, 0, 6, 1, 27
